order_id,next_status
31,confirmed
32,confirmed
33,confirmed
34,confirmed
35,confirmed
36,confirmed
37,confirmed
38,confirmed
39,confirmed
40,confirmed
41,confirmed
42,confirmed
43,confirmed
44,confirmed
45,confirmed
46,confirmed
47,confirmed
48,confirmed
49,confirmed
50,confirmed
51,confirmed
52,confirmed
53,confirmed
54,confirmed
55,confirmed
56,confirmed
57,confirmed
58,confirmed
59,confirmed
60,confirmed
61,confirmed
62,confirmed
63,confirmed
64,confirmed
65,confirmed
66,confirmed
67,confirmed
68,confirmed
69,confirmed
70,confirmed
71,confirmed
72,confirmed
73,confirmed
74,confirmed
75,confirmed
76,confirmed
77,confirmed
78,confirmed
79,confirmed
80,confirmed
81,confirmed
82,confirmed
83,confirmed
84,confirmed
85,confirmed
86,confirmed
87,confirmed
88,confirmed
89,confirmed
90,confirmed
91,confirmed
92,confirmed
93,confirmed
94,confirmed
95,confirmed
96,confirmed
97,confirmed
98,confirmed
99,confirmed
100,confirmed
101,confirmed
102,confirmed
103,confirmed
104,confirmed
105,confirmed
106,confirmed
107,confirmed
108,confirmed
109,confirmed
110,confirmed
111,confirmed
112,confirmed
113,confirmed
114,confirmed
115,confirmed
116,confirmed
117,confirmed
118,confirmed
119,confirmed
120,confirmed
121,confirmed
122,confirmed
123,confirmed
124,confirmed
125,confirmed
126,confirmed
127,confirmed
128,confirmed
129,confirmed
130,confirmed
131,confirmed
132,confirmed
133,confirmed
134,confirmed
135,confirmed
136,confirmed
137,confirmed
138,confirmed
139,confirmed
140,confirmed
141,confirmed
142,confirmed
143,confirmed
144,confirmed
145,confirmed
146,confirmed
147,confirmed
148,confirmed
149,confirmed
150,confirmed
151,confirmed
152,confirmed
153,confirmed
154,confirmed
155,confirmed
156,confirmed
157,confirmed
158,confirmed
159,confirmed
160,confirmed
161,confirmed
162,confirmed
163,confirmed
164,confirmed
165,confirmed
166,confirmed
167,confirmed
168,confirmed
169,confirmed
170,confirmed
171,confirmed
172,confirmed
173,confirmed
174,confirmed
175,confirmed
176,confirmed
177,confirmed
178,confirmed
179,confirmed
180,confirmed
181,confirmed
182,confirmed
183,confirmed
184,confirmed
185,confirmed
186,confirmed
187,confirmed
188,confirmed
189,confirmed
190,confirmed
191,confirmed
192,confirmed
193,confirmed
194,confirmed
195,confirmed
196,confirmed
197,confirmed
198,confirmed
199,confirmed
200,confirmed
201,confirmed
202,confirmed
203,confirmed
204,confirmed
205,confirmed
206,confirmed
207,confirmed
208,confirmed
209,confirmed
210,confirmed
211,confirmed
212,confirmed
213,confirmed
214,confirmed
215,confirmed
216,confirmed
217,confirmed
218,confirmed
219,confirmed
220,confirmed
221,confirmed
222,confirmed
223,confirmed
224,confirmed
225,confirmed
226,confirmed
227,confirmed
228,confirmed
229,confirmed
230,confirmed
231,confirmed
232,confirmed
233,confirmed
234,confirmed
235,confirmed
236,confirmed
237,confirmed
238,confirmed
239,confirmed
240,confirmed
241,confirmed
242,confirmed
243,confirmed
244,confirmed
245,confirmed
246,confirmed
247,confirmed
248,confirmed
249,confirmed
250,confirmed
251,confirmed
252,confirmed
253,confirmed
254,confirmed
255,confirmed
256,confirmed
257,confirmed
258,confirmed
259,confirmed
260,confirmed
261,confirmed
262,confirmed
263,confirmed
